0
American IPA
American Double / Imperial IPA
American Pale Ale (APA)
Russian Imperial Stout
American Double / Imperial Stout
American Porter
American Amber / Red Ale
Belgian Strong Dark Ale
Fruit / Vegetable Beer
American Strong Ale
Belgian Strong Pale Ale
Saison / Farmhouse Ale
American Adjunct Lager
Tripel
Witbier
Hefeweizen
American Barleywine
American Brown Ale
American Stout
American Pale Wheat Ale
Märzen / Oktoberfest
English Pale Ale
German Pilsener
Doppelbock
Winter Warmer
Dubbel
English Brown Ale
Belgian Pale Ale
Oatmeal Stout
Quadrupel (Quad)
Euro Pale Lager
American Wild Ale
Scotch Ale / Wee Heavy
Extra Special / Strong Bitter (ESB)
English India Pale Ale (IPA)
Pumpkin Ale
Old Ale
Light Lager
English Barleywine
Milk / Sweet Stout
Czech Pilsener
American Blonde Ale
Irish Dry Stout
Belgian IPA
Baltic Porter
Bock
American Black Ale
English Porter
Lambic - Fruit
Maibock / Helles Bock
Herbed / Spiced Beer
Rye Beer
Schwarzbier
Weizenbock
American Amber / Red Lager
Scottish Ale
American Pale Lager
Vienna Lager
English Bitter
Kölsch
Munich Dunkel Lager
Irish Red Ale
Munich Helles Lager
Altbier
Dunkelweizen
Bière de Garde
Flanders Red Ale
Belgian Dark Ale
Gueuze
Foreign / Export Stout
American Double / Imperial Pilsner
Cream Ale
Flanders Oud Bruin
English Strong Ale
Euro Dark Lager
Dortmunder / Export Lager
California Common / Steam Beer
Rauchbier
American Malt Liquor
Wheatwine
Berliner Weissbier
English Stout
Smoked Beer
Scottish Gruit / Ancient Herbed Ale
Euro Strong Lager
Eisbock
Keller Bier / Zwickel Bier
Black & Tan
English Dark Mild Ale
Chile Beer
Kristalweizen
Japanese Rice Lager
American Dark Wheat Ale
Low Alcohol Beer
Lambic - Unblended
Sahti
Bière de Champagne / Bière Brut
Braggot
English Pale Mild Ale
Gose
Faro
Roggenbier
Kvass
Happoshu
